epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.4,1.43068,3.79822,1.39375,0.01528,0.53556,0.14944,0.10459,1.2004,3.77373,1.25511,0.00023839,0.00023839,0.00023839
2,452.044,1.33746,2.41354,1.28302,0.55708,0.14237,0.18895,0.11744,1.28177,2.94205,1.3038,0.000479674,0.000479674,0.000479674
3,615.155,1.28851,2.17038,1.27499,0.6473,0.27753,0.31457,0.2046,1.30113,2.57593,1.36235,0.000716085,0.000716085,0.000716085
4,785.14,1.31097,1.98604,1.28621,0.65567,0.33887,0.35989,0.21477,1.28975,2.17262,1.38956,0.000746161,0.000746161,0.000746161
5,953.444,1.26303,1.90563,1.28136,0.58478,0.40026,0.36005,0.24362,1.15967,2.40331,1.27997,0.000738548,0.000738548,0.000738548
6,1121.51,1.25507,1.8328,1.27884,0.60513,0.44553,0.40838,0.27945,1.19199,2.05427,1.3323,0.000730935,0.000730935,0.000730935
7,1291.52,1.22784,1.70969,1.23687,0.63526,0.41028,0.42476,0.29016,1.1411,1.73315,1.26866,0.000723321,0.000723321,0.000723321
8,1460.45,1.20863,1.61566,1.22089,0.76772,0.42382,0.49202,0.34132,1.1191,1.55854,1.24571,0.000715708,0.000715708,0.000715708
9,1628.88,1.19369,1.58879,1.22458,0.75231,0.4555,0.50698,0.35158,1.09319,1.54818,1.22344,0.000708095,0.000708095,0.000708095
10,1797.87,1.14136,1.54442,1.21237,0.64651,0.49836,0.4904,0.33214,1.05984,1.50477,1.19216,0.000700482,0.000700482,0.000700482
11,1966.5,1.16779,1.51971,1.19995,0.74404,0.45816,0.51511,0.36823,1.05638,1.44642,1.19563,0.000692869,0.000692869,0.000692869
12,2135.53,1.12467,1.46204,1.17757,0.69221,0.50109,0.53761,0.37662,1.04834,1.35356,1.19385,0.000685256,0.000685256,0.000685256
13,2304.34,1.11667,1.37637,1.1748,0.74984,0.49006,0.53941,0.38447,1.00865,1.33789,1.16376,0.000677643,0.000677643,0.000677643
14,2472.36,1.10288,1.37713,1.15624,0.74856,0.52829,0.56854,0.407,1.01654,1.24306,1.16048,0.00067003,0.00067003,0.00067003
15,2646.97,1.11148,1.36561,1.16208,0.78883,0.5326,0.58525,0.41101,0.99402,1.17506,1.14762,0.000662417,0.000662417,0.000662417
16,2814.9,1.06398,1.28846,1.14728,0.76907,0.55801,0.61207,0.45029,0.94546,1.16304,1.13193,0.000654804,0.000654804,0.000654804
17,2983.16,1.08032,1.27108,1.13673,0.79386,0.57964,0.62916,0.46035,0.93044,1.14091,1.1193,0.00064719,0.00064719,0.00064719
18,3151.22,1.06387,1.26053,1.14298,0.6322,0.57086,0.63138,0.45757,0.93623,1.08724,1.11804,0.000639577,0.000639577,0.000639577
19,3318.63,1.07221,1.22029,1.13673,0.67831,0.56967,0.63583,0.47785,0.88468,1.02462,1.08892,0.000631964,0.000631964,0.000631964
20,3486.12,1.05459,1.1936,1.13179,0.66443,0.5841,0.64578,0.4745,0.94904,1.06134,1.1155,0.000624351,0.000624351,0.000624351
21,3654.46,1.03998,1.16733,1.12457,0.637,0.60012,0.63583,0.47199,0.88671,1.0452,1.08374,0.000616738,0.000616738,0.000616738
22,3823.2,1.02757,1.10834,1.11592,0.64007,0.601,0.63838,0.47236,0.89818,0.99724,1.07713,0.000609125,0.000609125,0.000609125
