epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,4327.35,0.34906,12.1208,0.35503,0.16667,0.00069,0.08368,0.03347,2.46054,5.21316,2.66435,0.000403571,0.000403571,0.000403571
26,4499.35,0.17727,12.2971,0.19635,0.05556,0.00069,0.02845,0.00853,2.54676,5.31155,2.72418,0.000388345,0.000388345,0.000388345
27,4673.6,0.41131,10.4805,0.44332,0.07364,0.01314,0.04347,0.02682,2.57067,5.21053,2.70639,0.000373119,0.000373119,0.000373119
28,4842.67,0.24588,10.178,0.28888,0,0,0,0,2.6698,5.48215,2.73818,0.000357893,0.000357893,0.000357893
29,5022.33,0.32849,9.38339,0.37507,0.12121,0.00553,0.06316,0.03722,2.70518,5.44251,2.75277,0.000342666,0.000342666,0.000342666
30,5201.87,0.47667,8.57969,0.48151,0.10417,0.00346,0.05348,0.03524,2.70352,5.42568,2.69438,0.00032744,0.00032744,0.00032744
31,5398.66,0.34113,8.25946,0.34076,0.04762,0.0083,0.02579,0.01519,2.55904,5.27751,2.59314,0.000312214,0.000312214,0.000312214
32,5574.97,0.35928,7.91068,0.40123,0,0,0,0,2.432,5.52499,2.51,0.000296988,0.000296988,0.000296988
33,5763.77,0.42579,7.18052,0.44776,0.10779,0.00919,0.05692,0.03604,2.42248,5.31789,2.51929,0.000281762,0.000281762,0.000281762
34,5942.02,0.50182,6.54708,0.61022,0.09091,0.01245,0.04952,0.03207,2.41155,5.37453,2.55848,0.000266535,0.000266535,0.000266535
35,6109.18,0.45253,6.68473,0.51532,0.04762,0.00138,0.02401,0.01799,2.40698,5.6602,2.50315,0.000251309,0.000251309,0.000251309
36,6281,0.30158,6.44797,0.33065,0,0,0,0,2.43833,5.7153,2.56189,0.000236083,0.000236083,0.000236083
37,6468.86,0.52915,6.00809,0.50383,0.03397,0.00248,0.01723,0.00948,2.44454,5.64081,2.59016,0.000220857,0.000220857,0.000220857
38,6636.23,0.42075,5.98281,0.43048,0,0,0,0,2.462,5.75284,2.59937,0.000205631,0.000205631,0.000205631
39,6803.42,0.33299,5.80855,0.36473,0.01961,0.00159,0.00986,0.00493,2.47445,5.70148,2.58211,0.000190404,0.000190404,0.000190404
40,6971.38,0.42785,5.70689,0.45016,0.01111,0.00069,0.00562,0.00393,2.4418,5.74052,2.59879,0.000175178,0.000175178,0.000175178
41,7138.15,0.32396,5.94477,0.31895,0.01852,0.00069,0.0093,0.00558,2.51676,5.77207,2.63101,0.000159952,0.000159952,0.000159952
42,7367.71,0.14154,5.90753,0.14403,0,0,0,0,2.54051,5.78031,2.65194,0.000144726,0.000144726,0.000144726
43,7603,0.09136,5.54776,0.10244,0.18489,0.00069,0.00256,0.00179,2.49873,5.70075,2.60427,0.0001295,0.0001295,0.0001295
44,7853.36,0.18585,5.54542,0.17503,0,0,0,0,2.50168,5.76431,2.62921,0.000114273,0.000114273,0.000114273
45,8088.68,0.13579,5.48545,0.14494,0,0,0,0,2.46448,5.7815,2.62447,9.90472e-05,9.90472e-05,9.90472e-05
46,8325.61,0.14365,5.40726,0.10791,0.00926,0.00069,0.00468,0.00281,2.45024,5.73838,2.60898,8.3821e-05,8.3821e-05,8.3821e-05
47,8569.33,0.13024,5.06261,0.17909,0.01333,0.00138,0.00674,0.00472,2.44292,5.7242,2.59526,6.85948e-05,6.85948e-05,6.85948e-05
48,8806.1,0.11966,5.14569,0.11519,0.00926,0.00069,0.00469,0.00375,2.44732,5.77609,2.6025,5.33686e-05,5.33686e-05,5.33686e-05
49,9051.12,0.14559,5.17774,0.17265,0.01111,0.00069,0.0056,0.00448,2.43688,5.79744,2.61031,3.81424e-05,3.81424e-05,3.81424e-05
50,9291.2,0.12479,4.84694,0.14849,0.00794,0.00069,0.00402,0.00322,2.42598,5.78851,2.60172,2.29162e-05,2.29162e-05,2.29162e-05
