epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.709,0.49195,90.682,0.47855,0.00219,0.20597,0.00189,0.00079,1.75916,4.59073,1.93718,0.00023839,0.00023839,0.00023839
2,363.347,0.5065,73.9425,0.49781,0.00288,0.05902,0.00181,0.00048,2.40138,4.80378,2.47919,0.000474877,0.000474877,0.000474877
3,531.159,0.57135,75.0755,0.56813,0.00153,0.04371,0.00184,0.00032,2.79372,4.89451,2.98059,0.00070162,0.00070162,0.00070162
4,698.903,0.69138,63.7512,0.65286,0.00239,0.06158,0.00201,0.00062,2.752,4.78904,2.91926,0.000723321,0.000723321,0.000723321
5,865.603,0.66427,65.7199,0.52413,0.003,0.06537,0.00209,0.00063,2.61878,4.86136,2.81249,0.000708095,0.000708095,0.000708095
6,1034.27,0.84746,52.1401,0.7541,0.00228,0.04966,0.00147,0.00038,2.56386,4.8114,2.69544,0.000692869,0.000692869,0.000692869
7,1209.74,0.51235,57.3619,0.51474,0.00555,0.00238,0.00286,0.00029,2.76429,4.91573,2.80077,0.000677643,0.000677643,0.000677643
8,1389.81,0.50668,52.3603,0.51717,0,0,0,0,2.6993,4.95575,2.73265,0.000662417,0.000662417,0.000662417
9,1578.04,0.71488,50.2325,0.6098,0,0,0,0,2.97867,4.86853,3.11319,0.00064719,0.00064719,0.00064719
10,1752.25,0.6781,43.8128,0.56107,0,0,0,0,3.01831,4.85345,3.19885,0.000631964,0.000631964,0.000631964
11,1918.26,0.77308,38.092,0.74066,0,0,0,0,2.89616,4.85893,3.06234,0.000616738,0.000616738,0.000616738
12,2084.72,0.41529,38.9749,0.44182,0,0,0,0,2.98862,4.89623,3.11843,0.000601512,0.000601512,0.000601512
13,2252.14,0.47442,37.4152,0.47947,0,0,0,0,3.0457,4.96065,3.15851,0.000586286,0.000586286,0.000586286
14,2428.69,0.44018,30.8473,0.40246,0.00093,0.00168,0.00048,5e-05,2.82797,5.06195,3.15811,0.000571059,0.000571059,0.000571059
15,2606.76,0.76075,25.7395,0.85113,0,0,0,0,2.72077,5.06402,2.97317,0.000555833,0.000555833,0.000555833
16,2782.57,0.46999,26.4734,0.4585,0,0,0,0,2.70553,5.10178,3.00464,0.000540607,0.000540607,0.000540607
17,2950.66,0.60399,21.5064,0.62311,0,0,0,0,2.64182,4.96632,2.91466,0.000525381,0.000525381,0.000525381
18,3117.45,0.65727,18.3976,0.69573,0.06897,0.0249,0.04195,0.01947,2.69764,4.87016,2.98592,0.000510155,0.000510155,0.000510155
19,3283.64,0.42609,21.0325,0.34137,0,0,0,0,2.66676,5.22531,2.82883,0.000494928,0.000494928,0.000494928
20,3449.1,0.46912,18.4428,0.46934,0,0,0,0,2.6339,5.16077,2.81669,0.000479702,0.000479702,0.000479702
21,3614.92,0.46971,16.6067,0.46495,0.125,0.00415,0.06426,0.03529,2.70577,4.99233,2.85944,0.000464476,0.000464476,0.000464476
22,3780.7,0.42429,15.8999,0.43968,0,0,0,0,2.65663,5.32711,2.79147,0.00044925,0.00044925,0.00044925
23,3957.35,0.34414,14.5711,0.29566,0,0,0,0,2.57304,5.21826,2.73244,0.000434024,0.000434024,0.000434024
24,4145.02,0.58244,12.0188,0.65664,0.10897,0.01176,0.0615,0.03835,2.45811,5.03764,2.6814,0.000418797,0.000418797,0.000418797
